configuration,ground_truth,image,PSNR_norm,SSIM_norm,MSSSIM_norm,IWSSIM_norm,VIF_norm,FSIM_norm,GMSD_norm,MSGMSD_norm,HAARPSI_norm,UQI_norm,S3IM_norm,TV_norm,BRISQUE_norm,CLIP-IQA_norm
scene_2201,image_113_full,image_113_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3824763906382556
scene_2201,image_113_full,image_113_128,0.2231339121448165,0.6273576490357946,0.742220669752501,0.7258734045973069,0.17623909370719285,0.208436515492964,0.450393672,0.4873032133,0.43684451020894993,0.961419788771109,0.5683884942949279,0.770995367,0.5280003271,0.3597358482785711
scene_2201,image_113_full,image_113_16,0.0,0.0,0.0,0.0,0.0,0.01475039269204565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200838107136559
scene_2201,image_113_full,image_113_256,0.2909597746065417,0.8334769414541144,0.8979400814148697,0.8978647903082178,0.35378412840575574,0.5362319989376952,0.695936093,0.7141669535,0.7012525116246532,0.9859515857995174,0.7803478461710798,0.8875364317,0.6427195732,1.0
scene_2201,image_113_full,image_113_32,0.07780433695986931,0.1279364845413323,0.2002725134060395,0.18015659968505093,0.024269432263108046,0.0,0.05013028391,0.07177801214,0.06254163830097231,0.6648979249455482,0.1079017346747689,0.2465033313,0.5939518665,0.2778583286348216
scene_2201,image_113_full,image_113_64,0.16246637097039482,0.39533266802558376,0.5245933147419574,0.4850838374438474,0.0798261202041526,0.0637953496643026,0.2329058345,0.2735994722,0.23459524181187408,0.9072545515039668,0.3493055678830796,0.5850372164,0.751540034,0.0
scene_2203,image_209_full,image_209_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
scene_2203,image_209_full,image_209_128,0.12086161162685587,0.467109447992184,0.6076659868839187,0.6284519444172733,0.14991225703290625,0.253788418163056,0.2897745242,0.3250519437,0.27907539525982744,0.810313827834533,0.4019667483328597,0.5919768719,0.6358633032,0.7195564542976118
scene_2203,image_209_full,image_209_16,0.0,0.0,0.0,0.0,0.0,0.0,0.00629031852,0.0005892507542,0.0,0.0,0.0,0.03293320186,0.4013569773,0.8896261595613146
scene_2203,image_209_full,image_209_256,0.15699868320181048,0.7637156699011972,0.8504442140299612,0.8633997984638792,0.3359865665438385,0.6040727612420533,0.5926114519,0.615890338,0.5968619761953876,0.8481953086494894,0.6939954356477139,0.8401107314,1.0,0.7621295171491825
scene_2203,image_209_full,image_209_32,0.008983834486017354,0.04471635273085621,0.09090683348346067,0.12462287768988108,0.021120327586245678,0.008611454668055827,0.0,0.0,0.001285938968248589,0.12915262921278084,0.029308809648788355,0.0,0.336614169,0.0
scene_2203,image_209_full,image_209_64,0.07364747306744739,0.20582768993349188,0.321054544731462,0.35243759984237577,0.06489867552842932,0.08242483247738397,0.08053989575,0.1015489766,0.08933619631897977,0.6795836800985727,0.1678576238631591,0.2550639046,0.7790980201,0.3022412301833137
scene_2205,image_090_full,image_090_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3205536828,0.0
scene_2205,image_090_full,image_090_128,0.221258448804915,0.5483496279289277,0.6539014291072592,0.6669884173420624,0.16999489315627894,0.1307881332608095,0.3626712682,0.3973520291,0.3838340029388591,0.9581520635766169,0.49060036140208263,0.673031825,0.5362643009,0.9923314485777793
scene_2205,image_090_full,image_090_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009456811894911477,0.0,0.0,0.0,0.0,1.0
scene_2205,image_090_full,image_090_256,0.3212925865186789,0.8215734652226834,0.8811793866824514,0.8909448345616862,0.3487605239464292,0.4072149854829911,0.6926126627,0.7039050486,0.705174154893243,0.9923401591277781,0.7627722706914181,0.8625273868,1.0,0.4778515976804514
scene_2205,image_090_full,image_090_32,0.06321079385830984,0.03501608307618172,0.05755222607339097,0.09664658575052074,0.025205994689322105,0.016800606089655334,7.520798186e-05,0.006148177158,0.0,0.5612148220006528,0.025486732325348965,0.01632827419,0.2665671105,0.5425624138776344
scene_2205,image_090_full,image_090_64,0.1669107521921941,0.27996121000706303,0.372339902689391,0.37671586085362,0.07164108280143486,0.05008592202319771,0.1405136713,0.1704903001,0.14401471597092996,0.9096750129716514,0.2413566155606581,0.4063934813,0.8703814733,0.6041360498227624
scene_2207,image_154_full,image_154_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
scene_2207,image_154_full,image_154_128,0.16761358592181635,0.6989019160121486,0.7876866096229898,0.7940686124559141,0.2342798527503977,0.13536253226282532,0.5797795874,0.6015154976,0.556875269031924,0.8817764909211852,0.6549717789977257,0.7548163253,0.5112436663,0.47328655130410485
scene_2207,image_154_full,image_154_16,0.0011004383484414047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05761446184880708,0.0,0.0,0.4868114334,1.0
scene_2207,image_154_full,image_154_256,0.3280761759301444,0.8935032998922326,0.9292931512605277,0.9340187395170297,0.4297793023403991,0.4408553164487132,0.8263982567,0.8327778305,0.8235811617273826,0.9905839083638537,0.8677525233190464,0.8978243233,1.0,0.16087853892824894
scene_2207,image_154_full,image_154_32,0.0,0.15619610210086257,0.24471242223755155,0.23544789976715366,0.04410651007322884,0.005389952668672556,0.1028468144,0.1216163975,0.09665442969695204,0.0,0.1418272585514149,0.2650978707,0.4443946978,0.9263605512806703
scene_2207,image_154_full,image_154_64,0.11917579454398805,0.42282872085071577,0.5376018216387682,0.5266650619337635,0.11662466044309222,0.04022525812496752,0.2975083402,0.3265980907,0.2649417738383062,0.7890296809927554,0.38538873528986856,0.5351122325,0.1965358193,0.5060570081676234
scene_2209,image_064_full,image_064_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8472730373,0.0,1.0
scene_2209,image_064_full,image_064_128,0.2599844879339986,0.5080588656448154,0.6374655519884725,0.636648653144985,0.16421199314975995,0.26329392611688707,0.2901502635,0.3385111365,0.3039794938353193,0.973604317383477,0.4479644652558074,0.5412979366,1.0,0.29593683635977835
scene_2209,image_064_full,image_064_16,0.04834127851926609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3776129421880977,0.0,0.006214999641,0.3731442015,0.295030335271414
scene_2209,image_064_full,image_064_256,0.0,0.3948633488592824,0.5796469045271629,0.4289885611310403,0.0008428849974429882,0.24951397483824436,0.4512181373,0.4262683548,0.31861358114969524,0.0,0.39191878357058085,1.0,0.5678915721,0.26578575103090857
scene_2209,image_064_full,image_064_32,0.09746455057147076,0.05891500263085025,0.09737918368176553,0.11708283629235437,0.021928604380748097,0.004027201957150588,0.004102277548,0.008722497089,0.007088108295964699,0.6545933619614688,0.045498035664490094,0.0,0.4675154357,0.10019622977944287
scene_2209,image_064_full,image_064_64,0.1704174510445171,0.232496921420153,0.33677940338321793,0.3429587406531672,0.07032557848600915,0.08988311148083718,0.07847585097,0.1045282353,0.09628208642219364,0.8793575641689612,0.19680188554510233,0.2341488848,0.5997915837,0.0
scene_2211,image_091_full,image_091_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4470451541,0.7733401175355424
scene_2211,image_091_full,image_091_128,0.1528633801087367,0.4663522429091247,0.5979254895076727,0.621888022577127,0.1463567835472692,0.1384940613368228,0.2842716335,0.3189600296,0.29776566574456936,0.8726869793561718,0.40576177040188216,0.6372957085,0.578480825,0.4722554057612757
scene_2211,image_091_full,image_091_16,0.0,0.0,0.0,0.0,0.0,0.010441571737572312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6704449164746585
scene_2211,image_091_full,image_091_256,0.2684024751268228,0.7638311657391218,0.8487902040655126,0.8677637424051531,0.31511251724552086,0.44493716377088316,0.5970264926,0.6132829389,0.6202637774920828,0.9815337966051123,0.6911111383918377,0.8477033023,1.0,1.0
scene_2211,image_091_full,image_091_32,0.09746074741274532,0.11744755116687938,0.17378539442075264,0.16923402566538834,0.01820295521186199,0.0,0.05424097504,0.06569576407,0.04275889910544314,0.7521478166393475,0.09811659917753729,0.2194226935,0.2104832788,0.0
scene_2211,image_091_full,image_091_64,0.14086614261489336,0.26513852475786165,0.3698970410736735,0.3797931557628975,0.059817237260572954,0.038490940152759376,0.1424469004,0.1649236766,0.12936403319157477,0.8719847933567972,0.2247790007936975,0.4338847355,0.4090498244,0.25423204096935814
scene_2213,image_192_full,image_192_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48132753775018006
scene_2213,image_192_full,image_192_128,0.19707771959698506,0.47009363878112687,0.6064414622414973,0.6112446283815237,0.15487343100491094,0.19742139539709327,0.2726995917,0.3180577511,0.3060867123591128,0.9484717597027426,0.41362604113922885,0.6326226406,0.5274976499,0.235964403324787
scene_2213,image_192_full,image_192_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scene_2213,image_192_full,image_192_256,0.27186960898341833,0.7809873540038402,0.8644599627381754,0.8768750621474573,0.3687948564064107,0.5377917610862264,0.5987603658,0.6232255291,0.671608964775057,0.9819438849493264,0.7116848670330869,0.8533021259,0.7893089795,0.0
scene_2213,image_192_full,image_192_32,0.05788139956362378,0.14255794914931844,0.21061777003837487,0.17637671224446558,0.01688408617679165,0.0011775335049220782,0.07197480312,0.09390548889,0.08542730060458376,0.5163769597779861,0.12707373271361241,0.310312691,0.4005467222,0.731140063332045
scene_2213,image_192_full,image_192_64,0.11204472126874664,0.29032954772169534,0.40244753307055453,0.37548877613467185,0.05691525703155108,0.053028765167676024,0.1610575834,0.1932774448,0.1676975461175124,0.7751231085426435,0.2569854765294245,0.4992617931,0.4729372638,0.45320237383198253
scene_2216,image_100_full,image_100_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9439058424,0.0
scene_2216,image_100_full,image_100_128,0.10438785497272364,0.5146627866470093,0.6464133422892083,0.6550360069379615,0.1323923942187591,0.21156903681195208,0.3664248834,0.3976621583,0.3958183317477936,0.7693905798699472,0.4513655930083537,0.7049621863,0.7032656464,0.9771690198879808
scene_2216,image_100_full,image_100_16,0.022302285101941762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4578453074854551,0.0,0.0,0.0,1.0
